id,name,location
1,Singapore Changi,"Singapore, Singapore"
2,Tokyo Haneda,"Tokyo, Japan"
3,Doha Hamad,"Doha, Qatar"
4,Seoul Incheon,"Seoul, South Korea"
5,Munich,"Munich, Germany"
6,Hong Kong,"Hong Kong, Hong Kong"
7,Tokyo Narita,"Tokyo, Japan"
8,Centrair Nagoya,"Tokoname, Japan"
9,Amsterdam Schiphol,"Amsterdam, Netherlands"
10,Kansai,"Osaka, Japan"
11,Zurich,"Zurich, Switzerland"
12,London Heathrow,"London, UK"
13,Vancouver,"Vancouver, Canada"
14,Frankfurt,"Frankfurt, Germany"
15,Helsinki-Vantaa,"Helsinki, Finland"
16,Vienna,"Vienna, Austria"
17,Melbourne,"Melbourne, Australia"
18,Taiwan Taoyuan,"Taoyuan, Taiwan"
19,Copenhagen,"Copenhagen, Denmark"
20,Paris CDG,"Paris, France"
21,Brisbane,"Brisbane, Australia"
22,Shanghai Hongqiao,"Shanghai, China"
23,Cape Town,"Cape Town, South Africa"
24,Hamburg,"Hamburg, Germany"
25,Dubai,"Dubai, UAE"
26,Sydney,"Sydney, Australia"
27,Madrid Barajas,"Madrid, Spain"
28,Cologne / Bonn,"Cologne, Germany"
29,Auckland,"Auckland, New Zealand"
30,Guangzhou,"Guangzhou, China"
31,Houston George Bush,"Houston, USA"
32,Durban King Shaka,"Durban, South Africa"
33,Dusseldorf,"Dusseldorf, Germany"
34,Cincinnati/Northern Kentucky,"Cincinnati, USA"
35,Jakarta,"Jakarta, Indonesia"
36,Johannesburg,"Johannesburg, South Africa"
37,Denver,"Denver, USA"
38,Haikou Meilan,"Haikou, China"
39,Fukuoka,"Fukuoka, Japan"
40,London City,"London, UK"
41,Atlanta,"Atlanta, USA"
42,Toronto Pearson,"Toronto, Canada"
43,Barcelona,"Barcelona, Spain"
44,Lima,"Lima, Peru"
45,Athens,"Athens, Greece"
46,NULL,NULL
47,Xi'an,"Xianyang, China"
48,Bangkok Suvarnabhumi,"Bangkok, Thailand"
49,Seoul Gimpo,"Seoul, South Korea"
50,Delhi,"Delhi, India"
51,Dallas/Fort Worth,"Dallas, USA"
52,Mumbai,"Mumbai, India"
53,Bogota,"Bogota, Colombia"
54,San Francisco,"San Francisco, USA"
55,Baku,"Baku, Azerbaijan"
56,Seattle-Tacoma,"Seattle, USA"
57,Montréal,"Montreal, Canada"
58,Rome Fiumicino,"Rome, Italy"
59,Adelaide,"Adelaide, Australia"
60,Moscow Sheremetyevo,"Moscow, Russia"
61,Gold Coast,"Gold Coast, Australia"
62,Perth,"Perth, Australia"
63,Kuala Lumpur,"Kuala Lumpur, Malaysia"
64,London Gatwick,"London, UK"
65,Christchurch,"Christchurch, New Zealand"
66,Shenzhen,"Shenzhen, China"
67,Houston Hobby,"Houston, USA"
68,Bangalore,"Bangalore, India"
69,Muscat,"Muscat, Oman"
70,Oslo,"Oslo, Norway"
71,Hyderabad,"Hyderabad, India"
72,Chengdu,"Chengdu, China"
73,Abu Dhabi,"Abu Dhabi, UAE"
74,Guayaquil,"Guayaquil, Ecuador"
75,Los Angeles,"Los Angeles, USA"
76,Paris Orly,"Paris, France"
77,New York JFK,"New York, USA"
78,Lisbon,"Lisbon, Potugal"
79,Stockholm Arlanda,"Stockholm, Sweden"
80,Beijing Capital,"Beijing, China"
81,Minneapolis St.Paul,"Minneapolis, USA"
82,Boston Logan,"Boston, USA"
83,Phoenix,"Phoenix, USA"
84,Medina,"Medina, Saudi Arabia"
85,Denpasar Bali,"Bali, Indonesia"
86,Changsha,"Changsa, China"
87,Hanoi Noi Bai,"Hanoi, Vietnam"
88,Warsaw,"Warsaw, Poland"
89,Porto,"Porto, Portugal"
90,Moscow Domodedovo,"Moscow, Russia"
91,Dammam,"Dammam, Saudi Arabia"
92,Mauritius,"Mauritius, Mauritius"
93,Budapest,"Budapest, Hungary"
94,Riyadh,"Riyadh, Saudi Arabia"
95,Detroit Metropolitan,"Detroit, USA"
96,Malta,"Malta, Greece"
97,Dublin,"Dublin, Ireland"
98,Bahrain,"Bahrain, Bahrain"
99,Milan Malpensa,"Milan, Italy"
100,Rostov-on-Don,"Rostov-on-Don, Russia"
